title,overview,rating,genre
silverado,"four unwitting heroes cross paths on their journey to the sleepy town of silverado. little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous posse. it's up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are.",7.0,western
gunfight at the o.k. corral,lawman wyatt earp and outlaw doc holliday form an unlikely alliance which culminates in their participation in the legendary gunfight at the o.k. corral.,7.0,western
how the west was won,"the epic tale of the development of the american west from the 1830s through the civil war to the end of the century, as seen through the eyes of one pioneer family.",7.0,western
the horse soldiers,a union cavalry outfit is sent behind confederate lines in strength to destroy a rail supply center. along with them is sent a doctor who causes instant antipathy between him and the commander. the secret plan for the mission is overheard by a southern belle who must be taken along to assure her silence.,7.0,western
hombre,"john russell, disdained by his ""respectable"" fellow stagecoach passengers because he was raised by indians, becomes their only hope for survival when they are set upon by outlaws.",7.0,western
last train from gun hill,"a marshal tries to bring the son of an old friend, an autocratic cattle baron, to justice for the rape and murder of his wife.",7.0,western
big jake,an aging texas cattle man who has outlived his time swings into action when outlaws kidnap his grandson.,6.9,western
soldier blue,"after a cavalry group is massacred by the cheyenne, only two survivors remain: honus, a naive private devoted to his duty, and cresta, a young woman who had lived with the cheyenne two years and whose sympathies lie more with them than with the us government. together, they must try to reach the cavalry's main base camp. as they travel onward, honus is torn between his growing affection for cresta.",6.9,western
the misfits,"while filing for a divorce, beautiful ex-stripper roslyn taber ends up meeting aging cowboy-turned-gambler gay langland and former world war ii aviator guido racanelli. the two men instantly become infatuated with roslyn and, on a whim, the three decide to move into guido's half-finished desert home together. when grizzled ex-rodeo rider perce howland arrives, the unlikely foursome strike up a business capturing wild horses.",6.9,western
hostiles,a legendary native american-hating army captain nearing retirement in 1892 is given one last assignment: to escort a cheyenne chief and his family through dangerous territory back to his montana reservation.,6.9,western
bone tomahawk,"during a shootout in a saloon, sheriff hunt injures a suspicious stranger. the doctor's assistant, wife of the local foreman, tends to him in prison. that night, the town is attacked and they both disappear—only the arrow of a cannibal tribe is found. hunt and a few of his men go in search of the prisoner and the foreman's wife.",6.8,western
wyatt earp,"from wichita to dodge city, to the o.k. corral in tombstone, wyatt earp is taught that nothing matters more than family and the law. joined by his brothers and doc holliday, earp wages war on the dreaded clanton and mclaury gangs.",6.8,western
hidalgo,"set in 1890, this is the story of a pony express courier who travels to arabia to compete with his horse, hidalgo, in a dangerous race for a massive contest prize, in an adventure that sends the pair around the world...",6.8,western
hang 'em high,"marshall jed cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. to carry out his oath for vengeance, he returns to his former job as a lawman. before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of wild west justice.",6.8,western
warlock,"a band of murderous cowboys has imposed a reign of terror on the town of warlock. with the sheriff humiliatingly run out of town, the residents hire the services of clay blaisedell as de facto town marshal. he arrives along with his friend, tom morgan, and sets about restoring law and order on his own terms whilst also overseeing the establishment of a gambling house and saloon.",6.7,western
broken arrow,"indian scout tom jeffords is sent out to stem the war between the whites and apaches in the late 1870s. he learns that the indians kill only to protect themselves, or out of retaliation for white atrocities.",6.7,western
young guns,"a group of young gunmen, led by billy the kid, become deputies to avenge the murder of the rancher who became their benefactor. but when billy takes their authority too far, they become the hunted.",6.7,western
the harder they fall,"gunning for revenge, outlaw nat love saddles up with his gang to take down enemy rufus buck, a ruthless crime boss who just got sprung from prison.",6.7,western
the homesman,"when three women living on the edge of the american frontier are driven mad by harsh pioneer life, the task of saving them falls to the pious, independent-minded mary bee cuddy. transporting the women by covered wagon to iowa, she soon realizes just how daunting the journey will be, and employs a low-life drifter, george briggs, to join her. the unlikely pair and the three women head east, where a waiting minister and his wife have offered to take the women in. but the group first must traverse the harsh nebraska territories marked by stark beauty, psychological peril and constant threat.",6.6,western
oklahoma!,this joyous celebration of frontier life combines tender romance and violent passion in the oklahoma territory of the 1900s with a timeless score filled with unforgettable songs. rodgers and hammerstein's hit broadway musical.,6.6,western
quigley down under,"american matt quigley answers australian land baron elliott marston's ad for a sharpshooter to kill the dingoes on his property. but when quigley finds out that marston's real target is the aborigines, quigley hits the road. now, even american expatriate crazy cora can't keep quigley safe in his cat-and-mouse game with the homicidal marston.",6.6,western
mclintock!,"ageing, wealthy, rancher and self-made man, george washington mclintock is forced to deal with numerous personal and professional problems. seemingly everyone wants a piece of his enormous farmstead, including high-ranking government men, mclintock's own sons and nearby native americans. as mclintock tries to juggle his various adversaries, his wife—who left him two years previously—suddenly returns. but she isn't interested in george; she wants custody of their daughter.",6.6,western
man without a star,a wandering cowboy gets caught up in a range war.,6.5,western
young guns ii,"three of the original five ""young guns"" — billy the kid (emilio estevez), jose chavez y chavez (lou diamond phillips), and doc scurlock (kiefer sutherland) — return in young guns, part 2, which is the story of billy the kid and his race to safety in old mexico while being trailed by a group of government agents led by pat garrett.",6.5,western
frontera,"after crossing the border illegally for work, miguel, a hard-working father and devoted husband, finds himself wrongfully accused of murdering a former sheriff’s wife. after learning of his imprisonment, miguel’s pregnant wife tries to come to his aid and lands in the hands of corrupt coyotes who hold her for ransom. dissatisfied with the police department’s investigation, the former sheriff tries to uncover the truth about his wife’s death and discovers disturbing evidence that will destroy one family’s future, or tear another’s apart.",6.5,western
the quick and the dead,"a mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",6.5,western
two sinners and a mule,"kicked out of a small western town for sinful behavior, free-spirited alice and nora set out for virginia city to pursue their dream of opening a restaurant. out on the prairie, they come across an injured bounty hunter named elden. hoping to share in the reward, they nurse elden back to health and help him stalk his prey, grimes. but as nora and alice both develop feelings for elden, no one notices that grimes is now on their tail, and the hunters become the hunted…",6.4,western
last shoot out,"soon after a newlywed learns that her husband had her father shot down, she flees from the callahan ranch in fear. she's rescued by a gunman who safeguards her at a remote outpost as he staves off her husband's attempts to reclaim his bride.",6.4,western
two rode together,two tough westerners bring home a group of settlers who have spent years as comanche hostages.,6.4,western
joe kidd,"a band of mexicans find their u. s. land claims denied and all the records destroyed in a courthouse fire. their leader, louis chama, encourages them to use force to regain their land. a wealthy landowner wanting the same decides to hire a gang of killers with joe kidd to track chama.",6.4,western
rio lobo,"after the civil war, cord mcnally searches for the traitor whose perfidy caused the defeat of mcnally's unit and the loss of a close friend.",6.4,western
badland,"detective matthias breecher, hired to track down the worst of the confederate war criminals, roams the old west seeking justice. his resolve is tested when he meets a determined pioneer woman who is far more than she seems.",6.3,western
the undefeated,"after the civil war, ex-union colonel john henry thomas and ex-confederate colonel james langdon are leading two disparate groups of people through strife-torn mexico. john henry and company are bringing horses to the unpopular mexican government for $35 a head while langdon is leading a contingent of displaced southerners, who are looking for a new life in mexico after losing their property to carpetbaggers. the two men are eventually forced to mend their differences in order to fight off both bandits and revolutionaries, as they try to lead their friends and kin to safety.",6.2,western
the ballad of lefty brown,"aging sidekick lefty brown has ridden with eddie johnson his entire life. but when a rustler kills eddie, lefty is forced from his partner’s shadow and must confront the ugly realities of frontier justice.",6.2,western
return of the seven,"chico one of the remaining members of the magnificent seven now lives in the town that they (the seven) helped. one day someone comes and takes most of the men prisoner. his wife seeks out chris, the leader of the seven for help. chris also meets vin another member of the seven. they find four other men and they go to help chico.",6.1,western
in a valley of violence,"the story of a drifter named paul who arrives in a small town seeking revenge on the thugs who murdered his friend. sisters mary anne and ellen, who run the town's hotel, help paul in his quest for vengeance.",6.1,western
american outlaws,"when a midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. they will become the object of the biggest manhunt in the history of the old west and, as their fame grows, so will the legend of their leader, a young outlaw by the name of jesse james.",6.1,western
desperate riders,"after kansas red rescues young billy from a card-game shootout, the boy asks red for help protecting his family from the outlaw thorn, who’s just kidnapped billy’s mother, carol. as red and billy ride off to rescue carol, they run into beautiful, tough-as-nails leslie, who’s managed to escape thorn’s men. the three race to stop thorn’s wedding to carol with guns a-blazing - but does she want to be rescued?",6.0,western
the old way,"an old gunslinger and his daughter must face the consequences of his past, when the son of a man he killed years ago arrives to take his revenge.",5.9,western
return of sabata,"master gunslinger sabata arrives in hobsonville, a town completely owned by mcintock, a robber baron who is taxing the inhabitants for the cost of future improvements to the town. or that's what mcintock says he'll do with the money...",5.9,western
the kid,"new mexico territory, 1880. rio cutler and his older sister sara must abandon their home after an unfortunate event happens. in their desperate flee to santa fe, they cross paths with the infamous outlaw billy the kid and his gang, who are ruthlessly pursued by a posse led by sheriff pat garret.",5.9,western
jane got a gun,"after her outlaw husband returns home shot with eight bullets and barely alive, jane reluctantly reaches out to an ex-lover who she hasn't seen in over ten years to help her defend her farm when the time comes that her husband's gang eventually tracks him down to finish the job.",5.8,western
catch the bullet,"u.s. marshal britt macmasters returns from a mission to find his father wounded and his son kidnapped by the outlaw jed blake. hot on their trail, britt forms a posse with a gunslinging deputy and a stoic pawnee tracker. but jed and britt tread dangerously close to the red desert’s sioux territory.",5.7,western
