title,overview,rating,genre
rich in love 2,"when the idealistic paula resumes her work as a volunteer doctor in the amazon, teto convinces his partners to establish their tomato cooperative in a village in the region. but to win back paula's heart and save the company from bankruptcy, teto must definitely overcome his spoiled playboy habits and face the interests of a powerful farmer, who stands in his way.",6.9,romance
love and leashes,"love never hurt so good for two co-workers who enter a contractual relationship as partners in consensual play, pleasure and pain.",6.9,romance
shakespeare in love,"young shakespeare is forced to stage his latest comedy, ""romeo and ethel, the pirate's daughter,"" before it's even written. when a lovely noblewoman auditions for a role, they fall into forbidden love -- and his play finds a new life (and title). as their relationship progresses, shakespeare's comedy soon transforms into tragedy.",6.9,romance
something from tiffany's,"doesn't every girl dream of getting... something from tiffany's? on 5th avenue in new york city, where nothing compares to the magic and excitement of the holidays, where the streets blaze with lights, and windows dazzle, a special box from tiffany could change the course of a person's life. or several lives. rachel and gary are happy enough but not quite ready for that big commitment. ethan and vanessa, the perfect picture, are just about to make it official. when a simple mix-up of gifts causes all of their paths to cross, it sets off a series of twists and unexpected discoveries that lead them where they're truly meant to be. because love -- like life -- is full of surprises.",6.9,romance
the house of the spirits,"a rancher, his clairvoyant wife and their family face turbulent years in south america.",6.9,romance
wheels on meals,"cousins thomas and david, owners of a mobile restaurant, team up with their friend moby, a bumbling private detective, to save the beautiful sylvia, a pickpocket.",6.9,romance
finding you,"finley, a talented aspiring violinist, meets beckett, a famous young movie star, on the way to her college semester abroad program in a small coastal village in ireland. an unexpected romance emerges as the heartthrob beckett leads the uptight finley on an adventurous reawakening, and she emboldens him to take charge of his future, until the pressures of his stardom get in the way.",6.9,romance
after everything,"besieged by writer’s block and the crushing breakup with tessa, hardin travels to portugal in search of a woman he wronged in the past – and to find himself. hoping to win back tessa, he realizes he needs to change his ways before he can make the ultimate commitment.",6.8,romance
after ever happy,"as a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. tessa is no longer the sweet, simple, good girl she was when she met hardin — any more than he is the cruel, moody boy she fell so hard for.",6.8,romance
cinderella,"when her father unexpectedly passes away, young ella finds herself at the mercy of her cruel stepmother and her daughters. never one to give up hope, ella's fortunes begin to change after meeting a dashing stranger in the woods.",6.8,romance
young mother-in-law,a young mother-in-law falls in love with her daughter's boyfriend.,6.8,romance
step up all in,"all-stars from the previous step up installments come together in glittering las vegas, battling for a victory that could define their dreams and their careers.",6.8,romance
under the tuscan sun,"after a rough divorce, frances, a 35 year old book editor from san francisco takes a tour of tuscany at the urgings of her friends. on a whim she buys bramasole, a run down villa in the tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.",6.8,romance
marry me,"music superstars kat valdez and bastian are getting married before a global audience of fans. but when kat learns, seconds before her vows, that bastian has been unfaithful, she decides to marry charlie, a stranger in the crowd, instead.",6.8,romance
the christmas secret,"while her life is falling apart, single mother christine finds a magical family heirloom that leads to love and good fortune during christmas.",6.8,romance
pizza dare 1,"seok, who wants to try perverted sex, pesters hyun-jin every day, but hyun-jin rejects it saying she only like normal things.  and then one day while delivering chicken, he found so-ra and hyun-soo, a couple who enjoys delivery exposures.  frustrated as he is with hyun-jin, he starts neglecting her and became more and more hooked with the so-ra couple.  to recover their relationship, hyun-jin goes on a date with seok. but then a call came for him. the couple invites him for sex.  will he be having a date with his wife, or will he accept the invitation he may only get once in a lifetime?  what would be his choice?",6.8,romance
northanger abbey,a young woman's penchant for sensational gothic novels leads to misunderstandings in the matters of the heart.,6.8,romance
the girl next door 2,"her husband sejin is not interested in his wife ahae as a woman. ahae's husband is just heartless. in fact, sejin is having an affair with ara's young and beautiful younger brother ara. after having suffered from depression due to work poisoning, he receives a message from the alumni association, and he changes his mind and attends. there, she meets ahae, the next-door sister who had a crush on her childhood, and is still fantastic with her pretty appearance. lonely aha due to the innocence of her husband and gunhoo approaching her with counseling. as if they were aware of each other's loneliness, they are attracted to each other and spend one night, returning to each other's daily lives, but after forgetting about the ahae, the hand of the ahae abandonment comes to mind all night. will they be able to go back to their daily lives?",6.8,romance
city of angels,"when guardian angel seth - who invisibly watches over the citizens of los angeles - becomes captivated by maggie, a strong-willed heart surgeon, he ponders trading in his pure, otherworldly existence for a mortal life with his beloved. the couple embarks on a tender but forbidden romance spanning heaven and earth.",6.8,romance
the wedding singer,"robbie, a local rock star turned wedding singer, is dumped on the day of his wedding. meanwhile, waitress julia finally sets a wedding date with her fiancée glenn. when julia and robbie meet and hit it off, they find that things are more complicated than anybody thought.",6.8,romance
delicious room salon service,"a room salon isn't doing well. there's only min-joo on duty. one day, a beautiful girl called joo-hee comes looking for a job and min-joo and her boss gets her to work as a call-girl. the store soon becomes famous for its luxurious treatment and service and sales increase. the owner suggests they move up to gangnam and they all get excited...",6.8,romance
ehrengard: the art of seduction,"when a self-appointed expert on love tries to teach a timid prince the art of seduction, the plan backfires, leading to scandal — and unexpected romance.",6.7,romance
crazy desire,"a middle-aged businessman meets a band of rowdy youths and is smitten by one, named francesca.",6.7,romance
the list,"after her fiance sleeps with a celebrity on his free pass list, abby meyers, with nothing but five names and a fantasy shared by millions, sets out for los angeles to sleep with someone from hers.",6.7,romance
mandingo,"warren maxwell, the owner of a run-down plantation, pressures his son, hammond, to marry and produce an heir to inherit the plantation. hammond settles on his own cousin, blanche, but purchases a sex slave when he returns from the honeymoon. meanwhile, warren buys a new mandingo slave named mede to breed and to earn money as a prize-fighter.",6.7,romance
the little rascals,"when nine-year-old alfalfa falls for darla, his ""he-man-woman-hating"" friends attempt to sabotage their relationship.",6.7,romance
love again,"mira ray, dealing with the loss of her fiancé, sends a series of romantic texts to his old cell phone number… not realizing the number was reassigned to rob burns' new work phone. a journalist, rob is captivated by the honesty in the beautifully confessional texts. when he’s assigned to write a profile of megastar céline dion, he enlists her help in figuring out how to meet mira in person and win her heart.",6.7,romance
nothing serious,"woo-ri, 32, and ja-young, 28, who both dislike being alone but have particular anxieties when it comes to dating, meet through an app.",6.7,romance
bloomington,a former child actress attends college in search of independence and ends up becoming romantically involved with a female professor. their relationship thrives until an opportunity to return to acting forces her to make life-altering decisions.,6.7,romance
dark spell,terror strikes when a heartbroken woman uses black magic to get her husband back.,6.7,romance
emma,"emma woodhouse is a congenial young lady who delights in meddling in other people’s affairs. she is perpetually trying to unite men and women who are utterly wrong for each other. despite her interest in romance, emma is clueless about her own feelings, and her relationship with gentle mr. knightly.",6.7,romance
practical magic,"sally and gillian owens, born into a magical family, have mostly avoided witchcraft themselves. but when gillian's vicious boyfriend, jimmy angelov, dies unexpectedly, the owens sisters give themselves a crash course in hard magic. with policeman gary hallet growing suspicious, the girls struggle to resurrect angelov -- and unwittingly inject his corpse with an evil spirit that threatens to end their family line.",6.7,romance
dog days,a group of people in los angeles are brought together thanks to their canine friends.,6.7,romance
the year of living dangerously,"australian journalist guy hamilton travels to indonesia to cover civil strife in 1965. there—on the eve of an attempted coup—he befriends a chinese australian photographer with a deep connection to and vast knowledge of the indonesian people, and also falls in love with a british national.",6.7,romance
the royal treatment,"isabella runs her own salon and isn’t afraid to speak her mind, while prince thomas runs his own country and is about to marry for duty rather than love. when izzy and her fellow stylists get the opportunity of a lifetime to do the hair for the royal wedding, she and prince thomas learn that taking control of their own destiny requires following their hearts.",6.7,romance
out of sight,"meet jack foley, a smooth criminal who bends the law and is determined to make one last heist. karen sisco is a federal marshal who chooses all the right moves … and all the wrong guys. now they're willing to risk it all to find out if there's more between them than just the law.",6.7,romance
goodbye mr. loser,a middle-aged loser travels back in time to his high scool years to put his life on the right track.,6.7,romance
faraway,"after inheriting a house on a croatian island, a woman embarks on a spur-of-the-moment trip that reignites her joy in life and opens a door to new love.",6.7,romance
brotherhood of blades ii: the infernal battlefield,"an imperial guard searches for the truth behind a conspiracy that framed him and his partners. the proof of his innocence lies with a wanted woman named bei zhai... but will she reveal what she knows? in this intense prequel to brotherhood of blades, the only thing he can truly trust is his sword.",6.7,romance
my big fat greek wedding 3,the portokalos family travels to greece for a family reunion.,6.6,romance
through my window: across the sea,"after a year of long-distance, raquel and ares reunite on a steamy beach trip. faced with fresh flirtations and insecurities, will their love prevail?",6.6,romance
beautiful disaster,"bad-boy travis is exactly what college freshman abby needs and wants to avoid. he spends his nights fighting in underground boxing matches, and his days as the ultimate college campus charmer. but abby wants nothing to do with travis. intrigued by abby’s resistance, travis offers her a simple bet: if he loses his next fight, he must remain sex-free for a month. if he wins, abby must live in his apartment for the same amount of time. either way, travis has no idea that abby’s dark past is about to emerge, and he may have finally met his match.",6.6,romance
friends with benefits,"dylan and jamie think it's going to be easy to add the simple act of sex to their friendship, despite what hollywood romantic comedies would have them believe. they soon discover however that getting physical really does always lead to complications.",6.6,romance
there's something about mary,"for ted, prom night went about as bad as it’s possible for any night to go. thirteen years later, he finally gets another chance with his old prom date, only to run up against other suitors including the sleazy detective he hired to find her.",6.6,romance
always be my maybe,"reunited after 15 years, famous chef sasha and hometown musician marcus feel the old sparks of attraction but struggle to adapt to each other's worlds.",6.6,romance
overboard,"a spoiled, wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee.",6.6,romance
risky business,"meet joel goodson, an industrious, college-bound 17-year-old and a responsible, trustworthy son. however, when his parents go away and leave him home alone in the wealthy chicago suburbs with the porsche at his disposal he quickly decides he has been good for too long and it is time to enjoy himself. after an unfortunate incident with the porsche joel must raise some cash, in a risky way.",6.6,romance
fall in love at first kiss,"after an earthquake destroys xiang qin's house, she and her father move in with the family of her father's college buddy. to her surprise, her new kind and amicable aunt and uncle are the parents of her cold and distant schoolmate, jiang zhi shu, a genius with an iq of 200 whom not too long ago rejected her when she confessed her feelings for him. will the close proximity give her a second chance to win zhi shu's heart? or will her love for him end under his cold words?",6.6,romance
the cutting edge: going for the gold,two ice skaters develop a love-hate relationship while dreaming of olympic glory.,6.6,romance
diary of a fleeting affair,"a single mother and a married man enter into an affair with the understanding that their relationship is purely sexual. though they agree the relationship has no future, they find themselves increasingly drawn into each other's company.",6.6,romance
drive me crazy,"nicole and chase live next door to each other but are worlds apart. however, they plot a scheme to date each other in order to attract the interest and jealousy of their respective romantic prey. but in the mist of planning a gala centennial celebration, nicole and chase find that the one they always wanted was closer than they ever thought.",6.6,romance
still time,"dante accidentally kisses alice and they get engaged. after a surprise party for his 40th birthday, he wakes up a year later, not remembering what happened. not only does he discover that alice is pregnant... he feels time is passing too quickly and he starts forgetting some of the most important moments of his life.",6.6,romance
dirty sexy saint,"clay kincaid hates the nickname 'saint', he got for being too kind to stray animals and desperate people. especially when it comes to women. with a rough and damaged past that has left him jaded, he doesn't do committed relationships. this is before he meets samantha jamieson, an heiress turned runaway in need of help. when she starts to work as a waitress at his bar, he discovers that she is someone truly special and amazing… someone that could warm his damaged heart.",6.6,romance
the next 365 days,laura and massimo's relationship hangs in the balance as they try to overcome trust issues while a tenacious nacho works to push them apart.,6.5,romance
bosomy tae-hee,"cha-wook and min-joo are about to get married. cha-wook proposes a couple trip to yong-woo’s wife who is his junior at work. ji-yeon doesn’t like uncomfortable trips but yong-woo’s boss forced her. the trip has been decided and cha-wook plans to stay with ji-yeon, who he’s been eyeing. min-joo is forced to join. on the day of the trip, min-joo finally tells everything to ji-yeon and ji-yeon decides to use cha-wook.",6.5,romance
squared love everlasting,monika and enzo's whirlwind romance heads toward a fairy-tale ending until a bombshell revelation changes everything.,6.5,romance
the night parade,"paris - one night. a woman and a man meet in a restaurant. she is beautiful. he falls for her. she is shy, he is bewitched. he talks, she is cautious. he tries, she avoids. she hesitates, he insists. an intense relationship starts then. during the night, masks fall off and the seduction game gives in to sincere feelings. will this love last over a night?",6.5,romance
the rebound,"upon discovering her husband's infidelity, sandy leaves the suburbs and moves into the city. there, she befriends aram, a guy whose wife only married him so she could get a green card. sandy hires aram to be her nanny, and  it isn't long until aram and sandy find out they get along wonderfully and start to date. but is their relationship real or is it, in fact, just a rebound for both of them?",6.5,romance
she's out of my league,"when he starts dating drop-dead gorgeous molly, insecure airport security agent kirk can't believe it. as his friends and family share their doubts about the relationship lasting, kirk does everything he can to avoid losing molly forever.",6.5,romance
dj cinderella,"cintia is modern princess, she's connected, decided and loves music. this ""pop"" princess used to live with their parents in a huge castle with a nice view to the city. every night she looked through the window and watch the view dreaming with a prince she didn't met yet. but one day her castle crumbles with everything around her, after her parents divorce she went to live with her aunt and stops believing in love.  what she didn't knew was that there was a charming prince in her history, that wanted to break the ice around our modern day cinderella.",6.5,romance
make me believe,two meddling grannies trick their adult grandkids into a meet-cute that reignites a childhood crush and old grudges.,6.5,romance
the perfect date,"no beau? no problem! to earn money for college, a high schooler creates a dating app that lets him act as a stand-in boyfriend.",6.5,romance
single all the way,"desperate to avoid his family’s judgment about his perpetual single status, peter convinces his best friend nick to join him for the holidays and pretend that they’re now in a relationship. but when peter’s mother sets him up on a blind date with her handsome trainer james, the plan goes awry.",6.5,romance
regarding henry,"respected lawyer, henry turner survives a convenience-store shooting only to find he has lost his memory, and has serious speech and mobility issues. after also losing his job—where he no longer 'fits in'—his loving wife and daughter give him all their love and support.",6.5,romance
falling inn love,"when a san francisco exec wins a new zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor.",6.5,romance
taste 2,"heon-sub is in his third year of cooking major at the samjin university.  he gets a job at the cooking school run by jeong-min, who lectures at his school department.  from a great looking professor to sexy students who have their eyes on young men, a married woman who tries hard to make things right in bed with her husband and the girl who dumped him right away at the blind date! heon-sub is the only guy at the cooking club and his adult-rated eating fantasy begins.",6.4,romance
sweet sex,a famous patissier and his women enjoy work and sex.  neung-geum has dreamt of being a pattisier. she stops supporting her boyfriends school bills.  woo-hyeon is a famous dessert patissier and he has secretive sex to get secret recipes but to him this is just a way to find sweetness.  neung-geum learns how to make dessert from woo-hyeon. what kind of sex will they have today? what flavor?,6.4,romance
beauty salon: special service 3,"in a deserted salon, female hair designer se-jeong quits, and the salon is at risk. jeong-soo, the owner, takes measures to overcome this hardship! he hires special male designers with 'special services'. lonely women in the neighborhood soon hear about this, and start swarming into the salon.",6.4,romance
a tourist's guide to love,"after an unexpected break up, a travel executive accepts an assignment to go undercover and learn about the tourist industry in vietnam. along the way, she finds adventure and romance with her vietnamese expat tour guide and they decide to hijack the tour bus in order to explore life and love off the beaten path.",6.4,romance
intimacy,"jay, a failed musician, walked out of his family and now earns a living as head bartender in a trendy london pub. every wednesday afternoon a woman comes to his house for graphic, almost wordless, sex. one day jay follows her and finds out about the rest of her life. this eventually disrupts their relationship.",6.4,romance
prizzi's honor,"charley partanna is a hitman who works for the prizzis, one of the richest crime families in the us. when he sees irene walker, it's love at first sight. but he soon finds that she, too, is a killer for hire. charley can overlook his suspicions, but he can't turn off his heart. and the couple must remember that even if they love each other, the prizzis love only money.",6.4,romance
second act,"maya, a 40-year-old woman struggling with frustrations from unfulfilled dreams. until that is, she gets the chance to prove to madison avenue that street smarts are as valuable as book smarts, and that it is never too late for a second act.",6.4,romance
the sex of the angels,"struggling martial artist and dancer bruno loves his girlfriend carla, but when he meets fellow dancer rai, serious sparks begin to fly, opening the couple up to new possibilities. a new generation navigates sexual fluidity, torn affections, and open relationships in this complicated love triangle.",6.4,romance
strange hair salon,"mi na opens her new beauty salon. however, mi na doesn't reseive customers even though she has opend her salon for a while. therefore, she tries to attract customers by implementing a sexy concept, which proves to be a jackpot.",6.4,romance
obsession,"simone inherits a dilapidated farmhouse in france and makes her way there with her husband eric and their two children. her dream is to turn the house into a bed and breakfast but as the hectic pace of the rebuilding gets underway, she gets caught up in the romance and chaos of it all. losing sight of her goals, she must find her way back to the dreams and ambitions which brought her there in the first place.",6.4,romance
"love, guaranteed",a lawyer takes on a new client that wants to sue a dating website because it guarantees love.,6.4,romance
tonight you're sleeping with me,"stuck in a passionless marriage, a journalist must choose between her distant but loving husband and a younger ex-boyfriend who has reentered her life",6.4,romance
tale of tales,the queen of selvascura risks everything to be a mother; the king of roccaforte falls in love with the voice of a mysterious girl; the king of altomonte becomes obsessed with a flea and neglects his daughter.,6.4,romance
indecent proposal,john gage offers a down-on-his-luck yuppie husband $1 million for the opportunity to spend the night with the man's wife.,6.3,romance
happiness for beginners,"at a crossroads after her divorce, a schoolteacher ventures toward a fresh start in life — and love — when she signs up for a grueling group hiking trip.",6.3,romance
falling for christmas,"an engaged, spoiled hotel heiress finds herself in the care of a handsome, blue-collar lodge owner and his precocious daughter after getting amnesia in a skiing accident.",6.3,romance
love at first kiss,"the story of javier who, at the age of 16, while kissing a girl for the first time, realized that he had a gift of romantic clairvoyance. javier can see the future... and he finally knows who the love of his life is.",6.3,romance
your place or mine,"when best friends and total opposites debbie and peter swap homes for a week, they get a peek into each other's lives that could open the door to love.",6.3,romance
nice sister-in-law 3,"jung-tae has become a successful businessman. one day, he calls for a substitute driver, but the driver was min-goo, the man who married his crush, yoo-ri. jung-tae still hadn't forgotten yoo-ri and learns that life if tough for this couple. jung-tae suggests something to min-goo and that is to let him live with yoo-ri for a year in return for 300 million won and his house.",6.3,romance
"hello, goodbye, and everything in between","clare and aidan, after making a pact that they would break up before college, find themselves retracing the steps of their relationship on their last evening as a couple. the epic date leads them to familiar landmarks, unexpected places, and causes them to question whether high school love is meant to last.",6.3,romance
the hot spot,"a man enters a small town which unwittingly gets obscured as girls, money, bank heists, police, killers and even a loner will strive forward in this crime-thriller.",6.3,romance
game of love,"follows vivien and roy as their love story continues and leads them to roy’s childhood home in sicily to prepare for the sale of the family estate. during the visit, a mysterious woman arrives and befriends vivien, much to roy’s displeasure. tensions build and lines are crossed as secrets from roy’s past force the couple to face aspects of their relationship they did not know existed.",6.3,romance
shortbus,"a group of new yorkers caught up in their romantic/sexual milieu converge at shortbus, an underground brooklyn salon infamous for its blend of art, music, politics, and carnality, and loosely inspired by various underground nyc gatherings that took place in the early 2000s. here, gay couple jamie and james meet ceth, a young ex-model and aspiring singer.",6.3,romance
my brother's wife,"after almost 10 years of marriage, attractive zoe discovers that her marriage lacks passion and surprise, and is seduced by the possibility of finding those sensations already forgotten in her husband's brother. from this premise a series of events lead these three characters to a dangerous game of revenges, secrets and passions. two brothers and one woman: the triangle is outlined in a disquieting way. it is a bomb that triggers family secrets, the contained rage of desire and the unmanageable power of love. an exciting story that subjugates the viewer from beginning to end.  even though zoe/sonia has been married to ignacio/ishan for about a decade, they are unable to have children. she wants to be intimate but he prefers to be ready for intimacy on saturdays only, and she gets physically drawn to his artistic brother, gonzalo/rohan. then things get complicated for her after she tests positive for motherhood and finds that her husband may be gay.",6.3,romance
christmas inheritance,"to inherit her father's company, socialite ellen must first visit his small hometown, where she learns the value of hard work and helping others.",6.3,romance
the nature of romance,a busy travel writer goes glamping at a state park with her best friend and finds herself falling in love with one of the park rangers.,6.3,romance
upside down,"in an alternate universe where twinned worlds have opposite gravities, a young man battles interplanetary prejudice and the laws of physics in his quest to reunite with the long-lost girl of his dreams in this visually stunning romantic adventure that poses the question: what if love was stronger than gravity?",6.3,romance
paradise,"after their caravan is attacked and their respective families butchered by arab marauders, teenagers david and sarah flee across the desert. but the desert is filled with danger from the elements, animals and the unwholesome appetite of the jackal, a sheik who wants sarah for himself. however, the desert also holds temptation and love. david and sarah hide out in an oasis and build a life for themselves, discovering each other in new ways.",6.3,romance
your christmas or mine?,"students hayley and james are young and in love. after saying goodbye for christmas at a london train station, they both make the same mad split-second decision to swap trains and surprise each other. passing each other in the station, they are completely unaware that they have just swapped christmases.",6.3,romance
a christmas prince: the royal baby,"christmas brings the ultimate gift to aldovia: a royal baby. but first, queen amber must help her family and kingdom by finding a missing peace treaty.",6.3,romance
eiffel,"the french government is asking gustave eiffel to design something spectacular for the 1889 paris world fair, but he simply wants to design the subway—until he crosses paths with a mysterious woman from his past.",6.3,romance
kate & leopold,"when her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named leopold to prove it -- a skeptical kate reluctantly takes responsibility for showing leopold the 21st century. the more time kate spends with leopold, the harder she falls for him. but if he doesn't return to his own time, his absence will forever alter history.",6.3,romance
the out-laws,"a straight-laced bank manager is about to marry the love of his life. when his bank is held up by infamous ghost bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous out-laws.",6.2,romance
the blue lagoon,"two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. soon, however, the cook dies and the young boy and girl are left on their own. days become years and emmeline and richard make a home for themselves surrounded by exotic creatures and nature's beauty. but will they ever see civilization again?",6.2,romance
beauty salon: special service,"a legendary beauty salon that is sure to become a regular once you go!”sir, would you like to have a very hot service?”in order to overcome the financial difficulties of the beauty parlor,it begins to attract the male guests with the special technique that makes it from head to toe.kurt, firm, and ‘it’ to open the hair salon is good!",6.2,romance
message in a bottle,"a woman finds a romantic letter in a bottle washed ashore and tracks down the author, a widowed shipbuilder whose wife died tragically early. as a deep and mutual attraction blossoms, the man struggles to make peace with his past so that he can move on and find happiness.",6.2,romance
henry & june,"while traveling in paris, author henry miller and his wife, june, meet anais nin, and sexual sparks fly as nin starts an affair with the openly bisexual june. when june is forced to return to the u.s., she gives nin her blessing to sleep with her husband. then, when june returns to france, an unexpected, and sometimes contentious, threesome forms.",6.2,romance
entrapment,"two thieves, who travel in elegant circles, try to outsmart each other and, in the process, end up falling in love.",6.2,romance
never been kissed,"josie geller, a baby-faced junior copywriter at the chicago sun-times, must pose as a student at her former high school to research contemporary teenage culture. with the help of her brother, rob, josie infiltrates the inner circle of the most popular clique on campus. but she hits a major snag in her investigation -- not to mention her own failed love life -- when she falls for her dreamy english teacher, sam coulson.",6.2,romance
monster-in-law,"office temp charlotte cantilini thinks she's found mr. right when she starts dating gorgeous surgeon dr. kevin fields. but there's a problem standing in the way of everlasting bliss: kevin's overbearing and controlling mother, viola. fearing she'll lose her son's affections forever, viola decides to break up the happy couple by becoming the world's worst mother-in-law.",6.2,romance
the unforgiven,the neighbors of a frontier family turn on them when it is suspected that their beloved adopted daughter was stolen from the kiowa tribe.,6.2,romance
private tutor advanced course,"seong-jin, the so-called expert of theory, who learned about women through text only, feels the thrilling excitement whenever he sees his academic advisor professor, mi-ae. however, mi-ae keeps ignoring his courtship, telling him to come back after growing up. he felt stuck and helpless and ends up revealing his distress to yeon-hwa, a novelist who has recently moved to his next door. to his surprise, she says she will teach him about women and begins tutoring him with the real life lessons from kissing to sex.",6.2,romance
book club,four lifelong friends decide that their lives could change by becoming nasty and reading fifty shades of grey in their monthly book club to get inspiration on how to handle sexual pleasure at an elderly age.,6.2,romance
newness,"in contemporary los angeles, two millennials navigating a social media–driven hookup culture begin a relationship that pushes both emotional and physical boundaries.",6.1,romance
pride and prejudice and zombies,"a zombie outbreak has fallen upon the land in this reimagining of jane austen's classic tale of the tangled relationships between lovers from different social classes in 19th century england. feisty heroine elizabeth bennet is a master of martial arts and weaponry and the handsome mr. darcy is a fierce zombie killer, yet the epitome of upper class prejudice. as the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",6.1,romance
nine 1/2 weeks,"an erotic story about a woman, the assistant of an art gallery, who gets involved in an impersonal affair with a man. she barely knows about his life, only about the sex games they play, so the relationship begins to get complicated.",6.1,romance
cocktail,"after being discharged from the army, brian flanagan moves back to queens and takes a job in a bar run by doug coughlin, who teaches brian the fine art of bar-tending. brian quickly becomes a patron favorite with his flashy drink-mixing style, and brian adopts his mentor's cynical philosophy on life and goes for the money.",6.1,romance
jan dara,"jan is a boy growing up in 1930s siam in a wealthy, dysfunctional family where sex has a huge impact on everyone's lives. jan is viewed by his father as cursed, since his mother died giving birth to him.",6.1,romance
serve the people,"mu-kwang volunteers to be a kitchen police of sa-taek, the divisional commander, dreaming of success. one day, mu-kwang meets su-ryeon by chance, who is a young and beautiful wife of the commander. soon, he feels a strong attraction by her.",6.1,romance
mad love,"after a successful bank robbery, micky hopes to take back his girlfriend marie who has been taken from him. on the way to paris he meets leon, a neurotic dreamer whom he considers an idiot. leon can hardly understand what micky is up to but he follows him everywhere and soon falls in love with marie.",6.1,romance
what's love got to do with it?,two childhood friends now in their thirties must decide whether to follow their heads or their hearts once the man decides to follow his parents' advice and enter into an arranged marriage in pakistan.,6.1,romance
ai love you,"a modern love story set in the near future where an ai building is powered by human feelings. due to a software glitch, it falls in love with a real girl, escapes the building into the body of a real man, and tries to win her affections.",6.1,romance
double lover,"chloé, a fragile young woman, falls in love with her psychoanalyst, paul. a few months later she moves in with him, but soon discovers that her lover is concealing a part of his identity.",6.1,romance
china girl,teenage lovers tony (richard panebianco) and tyan-hwa (sari chang) tip the balance of power in new york's little italy and chinatown.,6.1,romance
the lord of the rings: the return of the king,"aragorn is revealed as the heir to the ancient kings as he, gandalf and the other members of the broken fellowship struggle to save gondor from sauron's forces. meanwhile, frodo and sam take the ring closer to the heart of mordor, the dark lord's realm.",8.5,adventure
interstellar,the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.4,adventure
the lord of the rings: the fellowship of the ring,"young hobbit frodo baggins, after inheriting a mysterious ring from his uncle bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: mt. doom, the only place where it can be destroyed.",8.4,adventure
the lord of the rings: the two towers,"frodo and sam are trekking to mordor to destroy the one ring of power while gimli, legolas and aragorn search for the orc-captured merry and pippin. all along, nefarious wizard saruman awaits the fellowship members at the orthanc tower in isengard.",8.4,adventure
the empire strikes back,"the epic saga continues as luke skywalker, in hopes of defeating the evil galactic empire, learns the ways of the jedi from aging master yoda. but darth vader is more determined than ever to capture luke. meanwhile, rebel leader princess leia, cocky han solo, chewbacca, and droids c-3po and r2-d2 are thrown into various stages of capture, betrayal and despair.",8.4,adventure
avengers: infinity war,"as the avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: thanos. a despot of intergalactic infamy, his goal is to collect all six infinity stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. everything the avengers have fought for has led up to this moment - the fate of earth and existence itself has never been more uncertain.",8.3,adventure
avengers: endgame,"after the devastating events of avengers: infinity war, the universe is in ruins due to the efforts of the mad titan, thanos. with the help of remaining allies, the avengers must assemble once more in order to undo thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",8.3,adventure
back to the future,"eighties teenager marty mcfly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend doc brown - return to 1985.",8.3,adventure
princess mononoke,"ashitaka, a prince of the disappearing emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. along the way, he encounters san, a young human woman fighting to protect the forest, and lady eboshi, who is trying to destroy it. ashitaka must find a way to bring balance to this conflict.",8.3,adventure
star wars,princess leia is captured and held hostage by the evil imperial forces in their effort to take over the galactic empire. venturesome luke skywalker and dashing captain han solo team together with the loveable robot duo r2-d2 and c-3po to rescue the beautiful princess and restore peace and justice in the empire.,8.2,adventure
togo,"the untold true story set in the winter of 1925 that takes you across the treacherous terrain of the alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, leonhard seppala, and his lead sled dog, togo.",8.2,adventure
adventure time,pen and jake have to rescue princess bubblegum from the antagonistic ice king.,8.1,adventure
harry potter and the prisoner of azkaban,"year three at hogwarts means new fun and challenges as harry learns the delicate art of approaching a hippogriff, transforming shape-shifting boggarts into hilarity and even turning back time. but the term also brings danger: soul-sucking dementors hover over the school, an ally of the accursed he-who-cannot-be-named lurks within the castle walls, and fearsome wizard sirius black escapes azkaban. and harry will confront them all.",8.0,adventure
castle in the sky,a young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,8.0,adventure
