title,authors,overview,price(€),genre
When We Speak of Nothing,Jennifer Ryan,"A coming of age novel set against the backdrop of the 2011 London riots, When We Speak of Nothing launches a powerful new voice onto the literary stage. The fluid prose, peppered with contemporary slang, captures what it means to be young, black and queer in London. If grime music were a novel, it would be this.",€11.39,adventure
Wedding Dress Sewing Circle,"N.E. McMORRAN, Chiaki KAMIKAWA","The Great British Sewing Bee meets the Second World War in Jennifer Ryan's warm, charming and nostalgic novel The Wedding Dress Sewing Circle.",€12.75,adventure
Moojag and the Auticode Secret,Karen Swan,"Award winning, quirky cli-fi fantasy adventure for readers 10 years and up.
If Nema can't uncover a lost boy's true identity in time they may never escape the sticky world he designed...",€22.69,adventure
Midnight in the Snow,Georgia Kaufmann,"No Christmas would be complete without a wonderfully romantic story from Karen Swan, internationally bestselling author of Christmas in the Snow and Together by Christmas.",€11.28,adventure
Dressmaker of Paris,Chris Ryan,A stunning historical women's fiction novel that spans both time and the globe as we follow one woman's journey from simple country girl to global fashion icon.,€74.98€86.34,adventure
Head Hunters,J. R. R. Tolkien,The sixth book in the Danny Black series.,€12.26,adventure
Silmarillion,Kayte Nunn,"To celebrate the 30th anniversary of first publication, a new de luxe edition of The Silmarillion, featuring the revised, reset text, a colour frontispiece illustration, bound in special materials and presented in a matching slipcase.",€7.97,adventure
Botanist's Daughter,Janne Teller,"A gripping historical novel that brings to life the dangerous world of Victorian plant-hunters and a long-buried secret that could have deadly consequences. Fans of Natasha Lester, Emily Gunnis and Kate Morton will adore this powerful debut novel.",€26.16,adventure
War,David J Plunkett,Synopsis coming soon.......,€14.56,adventure
To Heaven or to Hell,George R.R. Martin,"In a time in the not-too-distant future, where mankind had all-but-used-up the earth's fuels and commodities and people's living standards had plummeted back to more than a century ago, comes a story of one man's fight for survival.",€22.55,adventure
Game of Thrones,Michael Paterson,"HBO's hit series A GAME OF THRONES is based on George R R Martin's internationally bestselling series A SONG OF ICE AND FIRE, the greatest fantasy epic of the modern age. A GAME OF THRONES is the first volume in the series.
'Completely immersive' Guardian",€13.60,adventure
James Bond,Beth Underdown,"""James Bond"", part of the 'Amazing and Extraordinary Facts' series, is the essential companion for every Bond fan, unearthing a selection of surprising and intriguing facts about the much-loved fictional spy, and the books and films that he has starred in.",€15.29,adventure
Key In The Lock,Goran Baba Ali,The captivating new historical mystery from the Richard and Judy bestselling author of THE WITCHFINDER'S SISTER...,€11.29,adventure
Glass Wall,Joseph Heller,"A novel about the struggle of a young refugee for obtaining the sanctuary of a city.
A clear-eyed, emotionally honest account of displaced people and the very human desire for survival at all costs. A quest for a better life.
A speculative story, set against a historical background of war and colonialism. With hints of absurdism.",€11.50,adventure
Catch-22,Susan May Warren,"Reading Joseph Heller's classic satire is nothing less than a rite of passage.
Set in the closing months of World War II in an American bomber squadron off the coast of Italy, Catch-22 is the story of a bombardier named Yossarian who is frantic and furious because thousands of people he has never even met keep trying to kill him.",€13.53,adventure
Sunburst,Dinah Jefferies,"When former Navy Seal Ranger Kingston rescues his kidnapped brother, he discovers among the hostages a woman he once promised to protect. But protecting Noemi Oyoma Sutton this time will require a marriage of convenience--which is decidedly inconvenient if she is to protect him from a deadly secret.",€13.79,adventure
Tuscan Contessa,John D. Burns,ONE WAR. TWO WOMEN. WILL THEY BE ABLE TO SAVE THE ONES THEY LOVE?...,€18.40,adventure
Sky Dance,Kass Morgan,"In his first two bestselling books, The Last Hillwalker and Bothy Tales, mountain writer John D. Burns invited readers to join him in the hills and wild places of Scotland. In Sky Dance, he returns to that world. As wild land is threatened like never before, it's time we asked ourselves what kind of future we want for the Highlands.",€18.52,adventure
Rebellion,Stephanie Garber,The thrilling fourth book in the New York Times bestselling series The 100. Now a hit TV show on E4.,€28.27,adventure
Finale,Stuart Turton,"Sunday Times and #1 New York Times bestselling author Stephanie Garber takes us back to the magical world of Caraval, where Scarlett and Tella Dragna must fight for their happy endings . . .",€13.07,adventure
Devil and the Dark Water,Lois McMaster Bujold,"'If you read one book this year, make sure it's this one' Daily Mail...",€33.70,adventure
Curse of Chalion,Chris Gill,"Returning to the noble household where he once served as page, Cazaril is named as secretary-tutor to the sister of the heir. It's an assignment Cazaril dreads, for it will lead him to the place he most fears: the royal court of Cadegoss. But a curse hangs over the entire blighted House of Chalion, and only with the most forbidden magic can Cazaril hope to protect his royal charge.",€24.68,adventure
Shell,Robin Sloan,"The Great Recession has shuffled Clay Jannon out of his life as a San Francisco webdesign drone -- and serendipity sheer curiosity and the ability to climb a ladder like a monkey has landed him a new job working the night shift at Mr Penumbra's 24Hour Bookstore After just a few days on the job Clay finds that this store is even more curious than the name suggests There are only a few customers but they come in repeatedly and never seem to actually buy anything instead ""checking out"" impossibly obscure volumes from strange corners of the store The store must be a front for something larger Clay concludes and soon he's embarked on a complex analysis of the customers' behavior and roped his friends into helping to figure out just what's going on With irresistible brio Robin Sloan has crafted a literary adventure story for the twentyfirst century Mr Penumbra's 24Hour Bookstore is exactly what it sounds like an",€37.40,adventure
