title,authors,overview,price(€),genre
Pride and Prejudice,Jane Austen,"Part of Penguin's beautiful hardback Clothbound Classics series, designed by the award-winning Coralie Bickford-Smith, these delectable and collectible editions are bound in high-quality colourful, tactile cloth with foil stamped into the design. When Elizabeth Bennet first meets eligible bachelor Fitzwilliam Darcy, she thinks him arrogant and conceited; he is indifferent to her good looks and...",€23.39,classic
Nineteen Eighty-Four,George Orwell,"Hidden away in the Record Department of the Ministry of Truth, Winston Smith rewrites the past to suit the needs of the Party. Yet he inwardly rebels against the totalitarian world he lives in, which demands absolute obedience and controls him through the all-seeing telescreens and the watchful eye of Big Brother, symbolic head of the Party.",€13.53,classic
Animal Farm,George Orwell,"When the downtrodden animals of Manor Farm overthrow their master Mr Jones and take over the farm themselves, they imagine it is the beginning of a life of freedom and equality. But gradually a cunning, ruthless elite among them, masterminded by the pigs Napoleon and Snowball, starts to take control.",€10.47,classic
Ubik,Philip K Dick,One of the very best must-read SF novels of all time.,€11.95,classic
Great Gatsby,F. Scott Fitzgerald,"A summary of the ""roaring twenties"", and a expose of the ""Jazz Age"", this book, through the narration of Nick Carraway, takes the reader into the world of the mansions which lined the Long Island shore in the 1920s, to encounter Nick's cousin Daisy, her brash but wealthy husband Tom Buchanan, Jay Gatsby and the mystery that surrounds him.",€7.31,classic
Great Gatsby,F. Scott Fitzgerald,"For Jay Gatsby - young, handsome, fabulously rich - always seems alone in the crowd, watching and waiting, though no one knows what for. Beneath the shimmering surface of his life he is hiding a secret: a silent longing for the one thing that will always be out of his reach. And soon this destructive obsession will force his world to unravel.",€20.26,classic
Orchard on Fire,Shena Mackay,"Many regard this as Mackay's masterpiece. A touching, funny novel about childhood in the 1950s: friendship, village life and lost innocence.",€12.09,classic
Frankenstein,Mary Shelley,"Obsessed by creating life itself, Victor Frankenstein plunders graveyards for the material to fashion a new being, which he shocks into life by electricity. But his botched creature, rejected by Frankenstein and denied human companionship, sets out to destroy his maker and all that he holds dear.",€20.98,classic
Rebecca,Daphne Du Maurier,"A stunning hardback edition to mark the eightieth anniversary of one of the best-loved novels ever written. A bestselling gothic tale of love, murder and secrets.",€20.70,classic
Dracula,"Bram Stoker, Maurice Hindle","Bram Stoker's novel became one of the masterpieces of the horror genre, brilliantly evoking a world of vampires and vampire hunters whilst simultaneously exposing the dark corners of Victorian sexuality and frustrated desire.",€26.62,classic
To Kill A Mockingbird,Harper Lee,"Set in a sleepy town in South Alabama during the Great Depression in the 1930s, this multi-layered story dissects the white and black communities of the American South. Told with gentle humour, it focuses on religious turpitude and the ambivalence of adult morality.",€11.62,classic
Alice's Adventures in Wonderland and Through the Looking Glass,"John Tenniel, Lewis Carroll","In the magical world of Wonderland and the back-to-front Looking-Glass kingdom, order is turned upside-down: a baby turns into a pig; time is abandoned at a tea-party; and, a chaotic game of chess makes a 7-year-old a Queen.",€23.20,classic
