title,author,rating,overview,genres,url
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,8.26,"Offred is a Handmaid in the Republic of Gilead. She may leave the home of the Commander and his wife once a day to walk to food markets whose signs are now pictures instead of words because women are no longer allowed to read. She must lie on her back once a month and pray that the Commander makes her pregnant, because in an age of declining births, Offred and the other Handmaids are valued only if their ovaries are viable. Offred can remember the years before, when she lived and made love with her husband, Luke when she played with and protected her daughter when she had a job, money of her own, and access to knowledge. But all of that is gone now…Funny, unexpected, horrifying, and altogether convincing, The Handmaid's Tale is at once scathing satire, dire warning, and tour de force.","Fiction,Classics,Dystopia,Science Fiction,Feminism,Fantasy,Adult",https://www.amazon.com/s?k=TheHandmaid’sTale&crid=TOQJCXSNICLI&sprefix=TheHandmaid’sTale%2Caps%2C163&ref=nb_sb_noss_1k=TheHandmaid%E2%80%99sTale
Life of Pi,Yann Martel,7.86,"Life of Pi is a fantasy adventure novel by Yann Martel published in 2001. The protagonist, Piscine Molitor ""Pi"" Patel, a Tamil boy from Pondicherry, explores issues of spirituality and practicality from an early age. He survives 227 days after a shipwreck while stranded on a boat in the Pacific Ocean with a Bengal tiger named Richard Parker.","Fiction,Fantasy,Classics,Adventure,Magical Realism,Novels,Literature",https://www.amazon.com/s?k=LifeofPi&crid=TOQJCXSNICLI&sprefix=LifeofPi%2Caps%2C163&ref=nb_sb_noss_1k=LifeofPi
"Dune (Dune, #1)",Frank Herbert,8.52,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream.***Original, first edition from 1965 can be found here.","Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Audiobook,Space Opera",https://www.amazon.com/s?k=Dune&crid=TOQJCXSNICLI&sprefix=Dune%2Caps%2C163&ref=nb_sb_noss_1k=Dune
Water for Elephants,Sara Gruen,8.2,"When Jacob Jankowski, recently orphaned and suddenly adrift, jumps onto a passing train, he enters a world of freaks, drifters, and misfits, a second-rate circus struggling to survive during the Great Depression, making one-night stands in town after endless town. A veterinary student who almost earned his degree, Jacob is put in charge of caring for the circus menagerie. It is there that he meets Marlena, the beautiful young star of the equestrian act, who is married to August, the charismatic but twisted animal trainer. He also meets Rosie, an elephant who seems untrainable until he discovers a way to reach her. Beautifully written, Water for Elephants is illuminated by a wonderful sense of time and place. It tells a story of a love between two people that overcomes incredible odds in a world in which even love is a luxury that few can afford.","Fiction,Historical Fiction,Romance,Historical,Adult,Adult Fiction,Contemporary",https://www.amazon.com/s?k=WaterforElephants&crid=TOQJCXSNICLI&sprefix=WaterforElephants%2Caps%2C163&ref=nb_sb_noss_1k=WaterforElephants
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,9.16,"Harry Potter, along with his best friends, Ron and Hermione, is about to start his third year at Hogwarts School of Witchcraft and Wizardry. Harry can't wait to get back to school after the summer holidays. (Who wouldn't if they lived with the horrible Dursleys?) But when Harry gets to Hogwarts, the atmosphere is tense. There's an escaped mass murderer on the loose, and the sinister prison guards of Azkaban have been called in to guard the school...","Young Adult,Childrens,Middle Grade,Audiobook,Adventure,Science Fiction Fantasy,Novels",https://www.amazon.com/s?k=HarryPotterandthePrisonerofAzkaban&crid=TOQJCXSNICLI&sprefix=HarryPotterandthePrisonerofAzkaban%2Caps%2C163&ref=nb_sb_noss_1k=HarryPotterandthePrisonerofAzkaban
The Bell Jar,Sylvia Plath,8.1,"The Bell Jar chronicles the crack-up of Esther Greenwood: brilliant, beautiful, enormously talented, and successful, but slowly going under—maybe for the last time. Sylvia Plath masterfully draws the reader into Esther's breakdown with such intensity that Esther's insanity becomes completely real and even rational, as probable and accessible an experience as going to the movies. Such deep penetration into the dark and harrowing corners of the psyche is an extraordinary accomplishment and has made The Bell Jar a haunting American classic.","Classics,Fiction,Feminism,Mental Health,Psychology,Literature,Mental Illness",https://www.amazon.com/s?k=TheBellJar&crid=TOQJCXSNICLI&sprefix=TheBellJar%2Caps%2C163&ref=nb_sb_noss_1k=TheBellJar
The Stand,Stephen King,8.7,"First came the days of the plague. Then came the dreams. Dark dreams that warned of the coming of the dark man. The apostate of death, his worn-down boot heels tramping the night roads. The warlord of the charnel house and Prince of Evil. His time is at hand. His empire grows in the west and the Apocalypse looms.For hundreds of thousands of fans who read The Stand in its original version and wanted more, this new edition is Stephen King's gift. And those who are listening to The Stand for the first time will discover a triumphant and eerily plausible work of the imagination that takes on the issues that will determine our survival.","Horror,Fiction,Fantasy,Science Fiction,Post Apocalyptic,Thriller,Dystopia",https://www.amazon.com/s?k=TheStand&crid=TOQJCXSNICLI&sprefix=TheStand%2Caps%2C163&ref=nb_sb_noss_1k=TheStand
Matilda,Roald Dahl,8.66,"“The Trunchbull” is no match for Matilda!Matilda is a little girl who is far too good to be true. At age five-and-a-half she's knocking off double-digit multiplication problems and blitz-reading Dickens. Even more remarkably, her classmates love her even though she's a super-nerd and the teacher's pet. But everything is not perfect in Matilda's world...For starters she has two of the most idiotic, self-centered parents who ever lived. Then there's the large, busty nightmare of a school principal, Miss (""The"") Trunchbull, a former hammer-throwing champion who flings children at will, and is approximately as sympathetic as a bulldozer. Fortunately for Matilda, she has the inner resources to deal with such annoyances: astonishing intelligence, saintly patience, and an innate predilection for revenge. Roald Dahl  was a spy, ace fighter-pilot, chocolate historian, and medical inventor. He was also the author of Charlie and the Chocolate Factory, Matilda, The BFG, and many more brilliant stories. He remains the World's No. 1 Storyteller.","Childrens,Fiction,Classics,Fantasy,Middle Grade,Young Adult,Humor",https://www.amazon.com/s?k=Matilda&crid=TOQJCXSNICLI&sprefix=Matilda%2Caps%2C163&ref=nb_sb_noss_1k=Matilda
Catch-22,Joseph Heller,7.98,"Fifty years after its original publication, Catch-22 remains a cornerstone of American literature and one of the funniest—and most celebrated—books of all time. In recent years it has been named to “best novels” lists by Time, Newsweek, the Modern Library, and the London Observer.Set in Italy during World War II, this is the story of the incomparable, malingering bombardier, Yossarian, a hero who is furious because thousands of people he has never met are trying to kill him. But his real problem is not the enemy—it is his own army, which keeps increasing the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempt to excuse himself from the perilous missions he’s assigned, he’ll be in violation of Catch-22, a hilariously sinister bureaucratic rule: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes a formal request to be removed from duty, he is proven sane and therefore ineligible to be relieved.This fiftieth-anniversary edition commemorates Joseph Heller’s masterpiece with a new introduction by Christopher Buckley a wealth of critical essays and reviews by Norman Mailer, Alfred Kazin, Anthony Burgess, and others rare papers and photos from Joseph Heller’s personal archive and much more. Here, at last, is the definitive edition of a classic of world literature.","Classics,Fiction,Historical Fiction,War,Humor,Literature,Novels",https://www.amazon.com/s?k=Catch-22&crid=TOQJCXSNICLI&sprefix=Catch-22%2Caps%2C163&ref=nb_sb_noss_1k=Catch-22
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,8.66,"Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes The Pillars of the Earth extraordinary is the time the twelfth century the place feudal England and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail. The vast forests, the walled towns, the castles, and the monasteries become a familiar landscape. Against this richly imagined and intricately interwoven backdrop, filled with the ravages of war and the rhythms of daily life, the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams, their labors, and their loves: Tom, the master builder Aliena, the ravishingly beautiful noblewoman Philip, the prior of Kingsbridge Jack, the artist in stone and Ellen, the woman of the forest who casts a terrifying curse. From humble stonemason to imperious monarch, each character is brought vividly to life.The building of the cathedral, with the almost eerie artistry of the unschooled stonemasons, is the center of the drama. Around the site of the construction, Follett weaves a story of betrayal, revenge, and love, which begins with the public hanging of an innocent man and ends with the humiliation of a king.For the TV tie-in edition with the same ISBN go to this Alternate Cover Edition","Historical Fiction,Fiction,Historical,Fantasy,Classics,Medieval,Audiobook",https://www.amazon.com/s?k=ThePillarsoftheEarth&crid=TOQJCXSNICLI&sprefix=ThePillarsoftheEarth%2Caps%2C163&ref=nb_sb_noss_1k=ThePillarsoftheEarth
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,8.6,"The Adventures of Sherlock Holmes is the series of short stories that made the fortunes of the Strand magazine, in which they were first published, and won immense popularity for Sherlock Holmes and Dr Watson. The detective is at the height of his powers and the volume is full of famous cases, including 'The Red-Headed League', 'The Blue Carbuncle', and 'The Speckled Band'. The editor of this volume, Richard Lancelyn Green is editor of The Uncollected Sherlock Holmes and The Further Adventures of Sherlock Holmes. With John Michael Gibson, he compiled the Soho Series Bibliography of A. Conan Doyle.","Classics,Mystery,Fiction,Short Stories,Crime,Detective,Mystery Thriller",https://www.amazon.com/s?k=TheAdventuresofSherlockHolmes&crid=TOQJCXSNICLI&sprefix=TheAdventuresofSherlockHolmes%2Caps%2C163&ref=nb_sb_noss_1k=TheAdventuresofSherlockHolmes
"Watership Down (Watership Down, #1)",Richard  Adams,8.16,"Librarian's note: See alternate cover edition of ISBN13 9780380395866 here.Set in England's Downs, a once idyllic rural landscape, this stirring tale of adventure, courage and survival follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of friends, they journey forth from their native Sandleford Warren through the harrowing trials posed by predators and adversaries, to a mysterious promised land and a more perfect society.","Classics,Fiction,Fantasy,Young Adult,Animals,Childrens,Adventure",https://www.amazon.com/s?k=WatershipDown&crid=TOQJCXSNICLI&sprefix=WatershipDown%2Caps%2C163&ref=nb_sb_noss_1k=WatershipDown
Great Expectations,Charles Dickens,7.58,"Great Expectations charts the progress of Pip from childhood through often painful experiences to adulthood, as he moves from the Kent marshes to busy, commercial London, encountering a variety of extraordinary characters ranging from Magwitch, the escaped convict, to Miss Havisham, locked up with her unhappy past and living with her ward, the arrogant, beautiful Estella.Pip must discover his true self, and his own set of values and priorities. Whether such values allow one to prosper in the complex world of early Victorian England is the major question posed by Great Expectations, one of Dickens's most fascinating, and disturbing, novels.This edition includes the original, discarded ending, Dickens's brief working notes, and the serial instalments and chapter divisions in different editions. It also uses the definitive Clarendon text.","Classics,Fiction,Literature,Historical Fiction,School,Novels,19th Century",https://www.amazon.com/s?k=GreatExpectations&crid=TOQJCXSNICLI&sprefix=GreatExpectations%2Caps%2C163&ref=nb_sb_noss_1k=GreatExpectations
Rebecca,Daphne du Maurier,8.48,"Last night I dreamt I went to Manderley again...Ancient, beautiful Manderley, between the rose garden and the sea, is the county's showpiece. Rebecca made it so - even a year after her death, Rebecca's influence still rules there. How can Maxim de Winter's shy new bride ever fill her place or escape her vital shadow?A shadow that grows longer and darker as the brief summer fades, until, in a moment of climatic revelations, it threatens to eclipse Manderley and its inhabitants completely...","Classics,Fiction,Mystery,Gothic,Romance,Historical Fiction,Thriller",https://www.amazon.com/s?k=Rebecca&crid=TOQJCXSNICLI&sprefix=Rebecca%2Caps%2C163&ref=nb_sb_noss_1k=Rebecca
"Outlander (Outlander, #1)",Diana Gabaldon,8.52,"The year is 1945. Claire Randall, a former combat nurse, is just back from the war and reunited with her husband on a second honeymoon when she walks through a standing stone in one of the ancient circles that dot the British Isles. Suddenly she is a Sassenach—an “outlander”—in a Scotland torn by war and raiding border clans in the year of Our Lord...1743. Hurled back in time by forces she cannot understand, Claire is catapulted into the intrigues of lairds and spies that may threaten her life, and shatter her heart. For here James Fraser, a gallant young Scots warrior, shows her a love so absolute that Claire becomes a woman torn between fidelity and desire—and between two vastly different men in two irreconcilable lives.","Historical Fiction,Romance,Fantasy,Fiction,Time Travel,Historical,Historical Romance",https://www.amazon.com/s?k=Outlander&crid=TOQJCXSNICLI&sprefix=Outlander%2Caps%2C163&ref=nb_sb_noss_1k=Outlander
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,8.32,"Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.An international publishing sensation, Stieg Larsson’s The Girl with the Dragon Tattoo combines murder mystery, family saga, love story, and financial intrigue into one satisfyingly complex and entertainingly atmospheric novel.","Fiction,Mystery,Thriller,Crime,Mystery Thriller,Suspense,Contemporary",https://www.amazon.com/s?k=TheGirlwiththeDragonTattoo&crid=TOQJCXSNICLI&sprefix=TheGirlwiththeDragonTattoo%2Caps%2C163&ref=nb_sb_noss_1k=TheGirlwiththeDragonTattoo
